Clade,Order,Family ,Vascular Variant Category,Vascular Variant Pattern,Morphotype,References,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Solanales,Convolvulaceae,Procambial variants,Medullary bundles,NA,Pant & Bhatnagar 1975; Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Solanales,Convolvulaceae,Cambial variants,Phloem wedges,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Solanales,Convolvulaceae,Cambial variants,Interxylary phloem,NA,"Angyalossy et al. 2015; Thacker et al., 2026",,,,,,,,,,,,,,,,,,,,,
Angiosperms,Solanales,Convolvulaceae,Cambial variants,Fissured stem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Solanales,Convolvulaceae,Ectopic cambia,Ectopic cambia,Successive cambia; neoformations,"Angyalossy et al. 2015; Thacker et al., 2026",,,,,,,,,,,,,,,,,,,,,
Angiosperms,Solanales,Convolvulaceae,Procambial variants,Intraxylary phloem,NA,"Metcalfe & Chalk 1983; Thacker et al., 2026",,,,,,,,,,,,,,,,,,,,,
Angiosperms,Solanales,Solanaceae,Procambial variants,Medullary bundles,NA,Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Vitales,Vitaceae,Cambial variants,Non-cylindrical stem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Vitales,Vitaceae,Cambial variants,Axial vascular elements in segments,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Vitales,Vitaceae,Cambial variants,Fissured stem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Vitales,Vitaceae,Ectopic cambia,Ectopic cambia,Successive cambia,"Angyalossy et al. 2015; Pace et al., 2018b",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
